[2020-02-13T01:48:06,626] <launcher> WARN  system - reload system.properties failed: file not found
[2020-02-13T01:48:06,632] <launcher> WARN  system - reload system.properties.bk failed: file not found
[2020-02-13T01:48:06,635] <launcher> INFO  system - *** Running for the first time, creating identity ***
[2020-02-13T01:48:06,636] <launcher> INFO  system - UUID: b4e058cc-dc63-49be-96d5-49b6e7774b5b
[2020-02-13T01:48:06,637] <launcher> WARN  system - reload system.properties failed: file not found
[2020-02-13T01:48:06,638] <launcher> WARN  system - reload system.properties.bk failed: file not found
[2020-02-13T01:48:06,662] <launcher> INFO  system - Reporter UUID:
[2020-02-13T01:48:10,675] <launcher> WARN  system - Failed to move/copy file /usr/lib/unifi/data/system.properties.tmp to /usr/lib/unifi/data/system.properties.
java.nio.file.FileSystemException: /usr/lib/unifi/data/system.properties: Device or resource busy
	at sun.nio.fs.UnixException.translateToIOException(UnixException.java:91) ~[?:1.8.0_242]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:102) ~[?:1.8.0_242]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:107) ~[?:1.8.0_242]
	at sun.nio.fs.UnixCopyFile.move(UnixCopyFile.java:447) ~[?:1.8.0_242]
	at sun.nio.fs.UnixFileSystemProvider.move(UnixFileSystemProvider.java:262) ~[?:1.8.0_242]
	at java.nio.file.Files.move(Files.java:1395) ~[?:1.8.0_242]
	at com.ubnt.service.super.o00000(Unknown Source) [ace.jar:?]
	at com.ubnt.service.super.String(Unknown Source) [ace.jar:?]
	at com.ubnt.service.C.thissuper.<clinit>(Unknown Source) [ace.jar:?]
	at com.ubnt.ace.C.Ó00000(Unknown Source) [ace.jar:?]
	at com.ubnt.ace.C.<init>(Unknown Source) [ace.jar:?]
	at com.ubnt.ace.Launcher.main(Unknown Source) [ace.jar:?]
[2020-02-13T01:48:14,696] <launcher> WARN  system - Failed to move/copy file /usr/lib/unifi/data/system.properties.tmp to /usr/lib/unifi/data/system.properties.
java.nio.file.FileSystemException: /usr/lib/unifi/data/system.properties: Device or resource busy
	at sun.nio.fs.UnixException.translateToIOException(UnixException.java:91) ~[?:1.8.0_242]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:102) ~[?:1.8.0_242]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:107) ~[?:1.8.0_242]
	at sun.nio.fs.UnixCopyFile.move(UnixCopyFile.java:447) ~[?:1.8.0_242]
	at sun.nio.fs.UnixFileSystemProvider.move(UnixFileSystemProvider.java:262) ~[?:1.8.0_242]
	at java.nio.file.Files.move(Files.java:1395) ~[?:1.8.0_242]
	at com.ubnt.service.super.o00000(Unknown Source) [ace.jar:?]
	at com.ubnt.service.super.String(Unknown Source) [ace.jar:?]
	at com.ubnt.service.C.thissuper.<clinit>(Unknown Source) [ace.jar:?]
	at com.ubnt.ace.C.Ó00000(Unknown Source) [ace.jar:?]
	at com.ubnt.ace.C.<init>(Unknown Source) [ace.jar:?]
	at com.ubnt.ace.Launcher.main(Unknown Source) [ace.jar:?]
[2020-02-13T01:48:16,562] <localhost-startStop-1> INFO  system - ======================================================================
[2020-02-13T01:48:16,567] <localhost-startStop-1> INFO  system - UniFi 5.12.35 (build atag_5.12.35_12979 - release/release) is started
[2020-02-13T01:48:16,568] <localhost-startStop-1> INFO  system - ======================================================================
[2020-02-13T01:48:16,569] <localhost-startStop-1> INFO  system - BASE dir:/usr/lib/unifi
[2020-02-13T01:48:16,607] <localhost-startStop-1> INFO  system - Current System IP: 172.18.0.2
[2020-02-13T01:48:16,608] <localhost-startStop-1> INFO  system - Hostname: d7de0eb927d8
[2020-02-13T01:48:17,029] <localhost-startStop-1> INFO  db     - waiting for db connection...
[2020-02-13T01:48:18,282] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:48:22,342] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:48:26,402] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:48:30,478] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:48:34,536] <localhost-startStop-1> INFO  db     - Connecting to mongodb://localhost:27117
[2020-02-13T01:48:34,552] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:48:38,610] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:48:42,672] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:48:46,731] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:48:50,788] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:48:54,853] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:48:58,931] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:03,001] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:07,074] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:11,145] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:15,214] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:19,284] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:23,342] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:27,411] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:31,474] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:35,537] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:39,605] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:43,668] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:47,727] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:51,797] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:55,861] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:49:59,934] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:04,019] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:08,102] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:12,172] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:16,277] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:20,374] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:24,437] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:28,501] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:32,562] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:36,623] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:40,687] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:44,747] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:48,810] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:52,880] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:50:56,947] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:01,007] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:05,079] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:09,138] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:13,216] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:17,275] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:21,329] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:25,391] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:51:29,468] <db-server> INFO  db     - DbServer stopped
